ID	ST	Accession No.	Region	District	Antibiotic Resistance	Antigenic Formulas	Average Length	Barcode	City	Collection Day	Collection Month	Collection Time	Collection Year	Comment	Lab Contact	Continent	Country	Date Entered	Disease	Experiment	Latitude	Longitude	Phage Type	Post Code	Release Date	Sample ID	Secondary Sample ID	Project ID	Insert Size	Sequencing Library	Sequencing Platform	Serovar	Source Details	Source Niche	Source Type	Name	Bio Project ID	Subspecies	Bases	Uberstrain
SAL_CB6237AA_AS	ST136123							SAL_RA4488AA			1		2018		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634229	SRS3529040	SRP042645				Minnesota	food	Food	ND/Others	481509	PRJNA248792	I		174488
SAL_CB6171AA_AS	ST129795							SAL_RA4554AA			5		2017		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634104	SRS3528868	SRP042645				Minnesota	food	Food	ND/Others	376320	PRJNA248792	I		174554
SAL_CB6161AA_AS	ST129702							SAL_RA4564AA			2		2018		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634088	SRS3528845	SRP042645				Minnesota	food	Food	ND/Others	497314	PRJNA248792	I		174564
SAL_CB6490AA_AS	ST129716		England					SAL_RA4600AA	London	11	1		2018		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	474912		I		174600
SAL_CB6517AA_AS	ST129736		England					SAL_RA4627AA	London	7	8		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	432261		I		174627
SAL_CB6531AA_AS	ST129746		England					SAL_RA4641AA	London	7	8		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	408540		I		174641
SAL_CB6533AA_AS	ST129753		England					SAL_RA4643AA	London	7	8		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	406645		I		174643
SAL_CB6558AA_AS	ST129787		England					SAL_RA4668AA	London	6	6		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	379344		I		174668
SAL_CB6560AA_AS	ST129789		England					SAL_RA4670AA	London	6	6		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	379347		I		174670
SAL_CB6570AA_AS	ST129696		England					SAL_RA4676AA	London	20	5		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	376319		I		174676
SAL_CB7271AA_AS	ST136766							SAL_RA5540AA			5		2018		Public Health England	Europe	United Kingdom	12/07/2018							12/07/2018	SAMN09638104	SRS3533639	SRP042645				Minnesota	food	Food	ND/Others	542098	PRJNA248792	I		175540
SAL_CB8609AA_AS	ST129780							SAL_RA6474AA			6		2017		Public Health England	Europe	United Kingdom	13/07/2018							13/07/2018	SAMN09652076	SRS3543042	SRP042645				Minnesota	food	Food	ND/Others	379343	PRJNA248792	I		176474
SAL_CB8403AA_AS	ST137230							SAL_RA6668AA			5		2017		Public Health England	Europe	United Kingdom	13/07/2018							13/07/2018	SAMN09651615	SRS3542612	SRP042645				Minnesota	food	Food	ND/Others	373824	PRJNA248792	I		176668
SAL_CB9936AA_AS	ST138458							SAL_RA8089AA			8		2016		Public Health England	Europe	United Kingdom	18/07/2018							18/07/2018	SAMN09683621	SRS3555766	SRP042645				Minnesota	Homo sapiens; human	Human	Human	291781	PRJNA248792	I		178089
SAL_DB3093AA_AS	ST133047		Scotland					SAL_SA0876AA					2018		D. Brown (Scotland)	Europe	United Kingdom	10/08/2018							12/02/2019											SMG-18-1182				180876
SAL_EB1254AA_AS	ST221943		Macau					SAL_SA6532AA	Macao		5		2018		Charlotte Chan	Asia	Macao	18/09/2018							23/03/2019								chicken wing	Food	Avian	717/SIS/2018-10T				186532
SAL_EB5259AA_AS	ST129795							SAL_SA7856AA			5		2017		Public Health England	Europe	United Kingdom	24/09/2018							22/09/2018	SAMN10103470	SRS3811551	SRP042645				Minnesota	food	Food	ND/Others	376321	PRJNA248792	I		187856
SAL_EB8015AA_AS	ST146236							SAL_TA0351AA			6		2017		Public Health England	Europe	United Kingdom	04/10/2018							04/10/2018	SAMN10174102	SRS3875061	SRP042645				Minnesota	food	Food	ND/Others	379345	PRJNA248792	I		190351
SAL_GB1238AA_AS	ST153706							SAL_TA8438AA			10		2018		Public Health England	Europe	United Kingdom	20/11/2018							18/11/2018	SAMN10438014	SRS4053992	SRP042645				Minnesota	food	Food	ND/Others	636286	PRJNA248792	I		198438
SAL_HB5260AA_AS	ST162616							SAL_UA5314AA			11		2018		Public Health England	Europe	United Kingdom	17/12/2018							16/12/2018	SAMN10599984	SRS4149698	SRP042645				Minnesota	food	Food	ND/Others	651965	PRJNA248792	I		205314
SAL_IB7372AA_AS	ST166713							SAL_VA0910AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	31/01/2019							30/01/2019	SAMN10393187	SRS4309255	SRP028607				Minnesota	Culture (Gallus gallus)	Poultry	Poultry	ULBRA-SA286	PRJNA183850	I		210910
SAL_IB7371AA_AS	ST166716							SAL_VA0911AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	31/01/2019							30/01/2019	SAMN10393132	SRS4309254	SRP028607				Minnesota	Culture (Gallus gallus)	Poultry	Poultry	ULBRA-SA285	PRJNA183850	I		210911
