ID	ST	Accession No.	Region	District	Antibiotic Resistance	Antigenic Formulas	Average Length	Barcode	City	Collection Day	Collection Month	Collection Time	Collection Year	Comment	Lab Contact	Continent	Country	Date Entered	Disease	Experiment	Latitude	Longitude	Phage Type	Post Code	Release Date	Sample ID	Secondary Sample ID	Project ID	Insert Size	Sequencing Library	Sequencing Platform	Serovar	Source Details	Source Niche	Source Type	Name	Bio Project ID	Subspecies	Bases	Uberstrain
SAL_MC1004AA_AS	ST250222							SAL_FB3026AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989627	SRS7829434	SRP042645				Minnesota	food	Food	ND/Others	1038227	PRJNA248792	I		313026
SAL_MC1002AA_AS	ST250177							SAL_FB3028AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989637	SRS7829432	SRP042645				Minnesota	food	Food	ND/Others	1038210	PRJNA248792	I		313028
SAL_MC0996AA_AS	ST250177							SAL_FB3034AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989622	SRS7829378	SRP042645				Minnesota	food	Food	ND/Others	1038204	PRJNA248792	I		313034
SAL_MC0995AA_AS	ST250182							SAL_FB3035AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989643	SRS7829377	SRP042645				Minnesota	food	Food	ND/Others	1038226	PRJNA248792	I		313035
SAL_MC0994AA_AS	ST250181							SAL_FB3036AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989638	SRS7829376	SRP042645				Minnesota	food	Food	ND/Others	1038202	PRJNA248792	I		313036
SAL_MC0993AA_AS	ST250223							SAL_FB3037AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989636	SRS7829375	SRP042645				Minnesota	food	Food	ND/Others	1038260	PRJNA248792	I		313037
SAL_MC0989AA_AS	ST250182							SAL_FB3041AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989620	SRS7829371	SRP042645				Minnesota	food	Food	ND/Others	1038189	PRJNA248792	I		313041
SAL_MC0988AA_AS	ST250222							SAL_FB3042AA			11		2020		Public Health England	Europe	United Kingdom	04/12/2020							04/12/2020	SAMN16989634	SRS7829370	SRP042645				Minnesota	food	Food	ND/Others	1038248	PRJNA248792	I		313042
SAL_MC3982AA_AS	ST251748							SAL_FB4735AA			12		2020		Public Health England	Europe	United Kingdom	19/12/2020							18/12/2020	SAMN17071978	SRS7877712	SRP042645				Minnesota	food	Food	ND/Others	1045008	PRJNA248792	I		314735
SAL_MC5671AA_AS	ST253006							SAL_FB6040AA			12		2020		Public Health England	Europe	United Kingdom	03/01/2021							29/12/2020	SAMN17159363	SRS7927468	SRP042645				Minnesota	food	Food	ND/Others	1056425	PRJNA248792	I		316040
SAL_MC5667AA_AS	ST253010							SAL_FB6044AA			12		2020		Public Health England	Europe	United Kingdom	03/01/2021							29/12/2020	SAMN17159369	SRS7927465	SRP042645				Minnesota	food	Food	ND/Others	1056411	PRJNA248792	I		316044
SAL_MC5659AA_AS	ST253016							SAL_FB6052AA			12		2020		Public Health England	Europe	United Kingdom	03/01/2021							29/12/2020	SAMN17159368	SRS7927456	SRP042645				Minnesota	food	Food	ND/Others	1056383	PRJNA248792	I		316052
SAL_NC5451AA_AS	ST260643							SAL_FB8532AA			1		2021		Public Health England	Europe	United Kingdom	24/01/2021							23/01/2021	SAMN17498430	SRS8098633	SRP042645				Minnesota	food	Food	ND/Others	1071222	PRJNA248792	I		318532
SAL_NC9139AA_AS	ST263030							SAL_GB6587AA			3		2021		Public Health England	Europe	United Kingdom	12/03/2021							11/03/2021	SAMN18232349	SRS8419601	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1125513	PRJNA248792	I		326587
SAL_OC2082AA_AS	ST265004							SAL_GB9419AA			3		2021		Public Health England	Europe	United Kingdom	23/03/2021							20/03/2021	SAMN18382229	SRS8504570	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1135893	PRJNA248792	I		329419
SAL_PC4437AA_AS	ST271495							SAL_HB8802AA			5		2021		Public Health England	Europe	United Kingdom	16/05/2021							16/05/2021	SAMN19222322	SRS8990332	SRP042645				Minnesota	food	Food	ND/Others	1173620	PRJNA248792	I		338802
SAL_PC4430AA_AS	ST271499							SAL_HB8809AA			5		2021		Public Health England	Europe	United Kingdom	16/05/2021							16/05/2021	SAMN19222325	SRS8990273	SRP042645				Minnesota	food	Food	ND/Others	1173595	PRJNA248792	I		338809
SAL_PC4429AA_AS	ST271495							SAL_HB8810AA			5		2021		Public Health England	Europe	United Kingdom	16/05/2021							16/05/2021	SAMN19222321	SRS8990272	SRP042645				Minnesota	food	Food	ND/Others	1173616	PRJNA248792	I		338810
SAL_PC4427AA_AS	ST271495							SAL_HB8812AA			5		2021		Public Health England	Europe	United Kingdom	16/05/2021							16/05/2021	SAMN19222328	SRS8990270	SRP042645				Minnesota	food	Food	ND/Others	1173577	PRJNA248792	I		338812
SAL_PC4424AA_AS	ST271495							SAL_HB8815AA			5		2021		Public Health England	Europe	United Kingdom	16/05/2021							16/05/2021	SAMN19222327	SRS8990265	SRP042645				Minnesota	food	Food	ND/Others	1173568	PRJNA248792	I		338815
SAL_PC4779AA_AS	ST271495							SAL_HB8866AA			5		2021		Public Health England	Europe	United Kingdom	17/05/2021							17/05/2021	SAMN19228173	SRS8995482	SRP042645				Minnesota	food	Food	ND/Others	1176749	PRJNA248792	I		338866
SAL_PC4776AA_AS	ST271495							SAL_HB8869AA			5		2021		Public Health England	Europe	United Kingdom	17/05/2021							17/05/2021	SAMN19228160	SRS8995386	SRP042645				Minnesota	food	Food	ND/Others	1176743	PRJNA248792	I		338869
SAL_PC4771AA_AS	ST271495							SAL_HB8874AA			5		2021		Public Health England	Europe	United Kingdom	17/05/2021							17/05/2021	SAMN19228168	SRS8995340	SRP042645				Minnesota	food	Food	ND/Others	1176754	PRJNA248792	I		338874
SAL_PC4767AA_AS	ST271495							SAL_HB8878AA			5		2021		Public Health England	Europe	United Kingdom	17/05/2021							17/05/2021	SAMN19228159	SRS8995326	SRP042645				Minnesota	food	Food	ND/Others	1176705	PRJNA248792	I		338878
SAL_PC4765AA_AS	ST271631							SAL_HB8880AA			5		2021		Public Health England	Europe	United Kingdom	17/05/2021							17/05/2021	SAMN19228167	SRS8995322	SRP042645				Minnesota	food	Food	ND/Others	1176753	PRJNA248792	I		338880
SAL_PC6387AA_AS	ST272339							SAL_IB0091AA			5		2021		Public Health England	Europe	United Kingdom	26/05/2021							26/05/2021	SAMN19336470	SRS9065483	SRP042645				Minnesota	food	Food	ND/Others	1180019	PRJNA248792	I		340091
SAL_PC8219AA_AS	ST273385							SAL_IB1510AA					2019		ROBERT KOCH INSTITUTE	Europe	Germany	04/06/2021							04/06/2021	SAMEA7540887	ERS5297341	ERP124901				Minnesota	Homo sapiens; stool	Human	Human	19-00825	PRJEB41165	I		341510
SAL_PC8132AA_AS	ST273300							SAL_IB1598AA					2017		ROBERT KOCH INSTITUTE	Europe	Germany	04/06/2021							04/06/2021	SAMEA7540803	ERS5297257	ERP124901				Minnesota	Homo sapiens; stool	Human	Human	17-01659	PRJEB41165	I		341598
SAL_PC8125AA_AS	ST273307							SAL_IB1605AA					2017		ROBERT KOCH INSTITUTE	Europe	Germany	04/06/2021							04/06/2021	SAMEA7540796	ERS5297250	ERP124901				Minnesota	Homo sapiens; stool	Human	Human	17-00273	PRJEB41165	I		341605
SAL_QC3989AA_AS	ST276606							SAL_IB5618AA			6		2021		Public Health England	Europe	United Kingdom	05/07/2021							04/07/2021	SAMN20054879	SRS9392563	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1242881	PRJNA248792	I		345618
SAL_QC4560AA_AS	ST276934							SAL_IB6124AA			6		2021		Public Health England	Europe	United Kingdom	07/07/2021							07/07/2021	SAMN20085648	SRS9411306	SRP042645				Minnesota	food	Food	ND/Others	1244011	PRJNA248792	I		346124
SAL_QC4511AA_AS	ST276985							SAL_IB6173AA			6		2021		Public Health England	Europe	United Kingdom	07/07/2021							07/07/2021	SAMN20085574	SRS9411246	SRP042645				Minnesota	food	Food	ND/Others	1244035	PRJNA248792	I		346173
SAL_QC4483AA_AS	ST276985							SAL_IB6201AA			6		2021		Public Health England	Europe	United Kingdom	07/07/2021							07/07/2021	SAMN20085533	SRS9411191	SRP042645				Minnesota	food	Food	ND/Others	1244040	PRJNA248792	I		346201
SAL_QC7149AA_AS	ST278207							SAL_IB7626AA			6		2021		Public Health England	Europe	United Kingdom	18/07/2021							18/07/2021	SAMN20293031	SRS9528961	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1264083	PRJNA248792	I		347626
SAL_RC0234AA_AS	ST280285							SAL_JB0195AA			7		2021		Public Health England	Europe	United Kingdom	09/08/2021							01/08/2021	SAMN20491256	SRS9640871	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1264156	PRJNA248792	I		350195
SAL_RC2028AA_AS	ST280872		Scotland					SAL_JB0864AA							D. Brown (Scotland)	Europe	United Kingdom	16/08/2021							16/08/2021											SMG-21-1461				350864
SAL_RC6622AA_AS	ST284039							SAL_JB4456AA			9		2021		Public Health England	Europe	United Kingdom	17/09/2021							17/09/2021	SAMN21463409	SRS10190218	SRP042645				Minnesota	food	Food	ND/Others	1432823	PRJNA248792	I		354456
SAL_RC6546AA_AS	ST284094							SAL_JB4532AA			9		2021		Public Health England	Europe	United Kingdom	17/09/2021							17/09/2021	SAMN21463323	SRS10190027	SRP042645				Minnesota	food	Food	ND/Others	1432836	PRJNA248792	I		354532
SAL_SC4892AA_AS	ST284238							SAL_JB4772AA					2020		SFDA	Asia	Saudi Arabia	20/09/2021	foodborne						20/09/2021							Minnesota 	Entaje	Poultry	Poultry	S-15475				354772
SAL_SC4896AA_AS	ST284246							SAL_JB4776AA					2020		SFDA	Asia	Saudi Arabia	20/09/2021	foodborne 						20/09/2021							Minnesota 	Fageh	Poultry	Poultry	S-15494				354776
SAL_SC4897AA_AS	ST284247							SAL_JB4777AA					2020		SFDA	Asia	Saudi Arabia	20/09/2021	foodborne 						20/09/2021							Minnesota 	Watania	Poultry	Poultry	S-15504				354777
SAL_SC4899AA_AS	ST284256							SAL_JB4782AA					2020		SFDA	Asia	Saudi Arabia	20/09/2021	foodborne 						20/09/2021							Minnesota	Watania	Poultry	Poultry	S-18578a				354782
SAL_RC7649AA_AS	ST284256							SAL_JB5505AA			7		2020		King Abdullah International Medical Research Center (KAIMRC)		Saudi Arabia	26/09/2021			24.774265	46.738586			25/09/2021	SAMN20518183	SRS10327724	SRP338651				Minnesota	food	Food	ND/Others	SA18578	PRJNA751432	I		355505
SAL_SC4904AA_AS	ST285081							SAL_JB5750AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Fageh	Poultry	Poultry	S-15477				355750
SAL_SC4905AA_AS	ST285082							SAL_JB5751AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Entaje	Poultry	Poultry	S-15476				355751
SAL_SC4906AA_AS	ST285083							SAL_JB5752AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Watania	Poultry	Poultry	S-15506				355752
SAL_SC4907AA_AS	ST285081							SAL_JB5753AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Entaje	Poultry	Poultry	S-15478				355753
SAL_SC4908AA_AS	ST285084							SAL_JB5754AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Watania	Poultry	Poultry	S-15508				355754
SAL_SC4917AA_AS	ST285102							SAL_JB5763AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Alyoum	Poultry	Poultry	S-17182				355763
SAL_SC4918AA_AS	ST285095							SAL_JB5764AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota	Alyoum	Poultry	Poultry	S-17184				355764
SAL_SC4919AA_AS	ST290617							SAL_JB5765AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Alyoum	Poultry	Poultry	S-17185				355765
SAL_SC4920AA_AS	ST285092							SAL_JB5766AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Alyoum	Poultry	Poultry	S-17186				355766
SAL_SC4924AA_AS	ST285100							SAL_JB5770AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Watania	Poultry	Poultry	S-W2				355770
SAL_SC4926AA_AS	ST285098							SAL_JB5773AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Watania	Poultry	Poultry	S-W3				355773
SAL_SC4927AA_AS	ST285107							SAL_JB5774AA					2020		SFDA	Asia	Saudi Arabia	28/09/2021	foodborne						28/09/2021							Minnesota 	Watania	Poultry	Poultry	S-15507				355774
SAL_RC8043AA_AS	ST285288							SAL_JB5959AA					2018		Institute Adolfo Lutz	South America	Brazil	30/09/2021							30/09/2021							Minnesota		Food	Food	180.18				355959
SAL_RC8091AA_AS	ST285348							SAL_JB6063AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857095	SRS10346879	SRP042645				Minnesota	food	Food	ND/Others	1469825	PRJNA248792	I		356063
SAL_RC8087AA_AS	ST285346							SAL_JB6067AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857075	SRS10346866	SRP042645				Minnesota	food	Food	ND/Others	1469853	PRJNA248792	I		356067
SAL_RC8080AA_AS	ST285356							SAL_JB6074AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857078	SRS10346853	SRP042645				Minnesota	food	Food	ND/Others	1469863	PRJNA248792	I		356074
SAL_RC8078AA_AS	ST285348							SAL_JB6076AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857054	SRS10346850	SRP042645				Minnesota	food	Food	ND/Others	1469854	PRJNA248792	I		356076
SAL_RC8076AA_AS	ST285360							SAL_JB6078AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857050	SRS10346845	SRP042645				Minnesota	food	Food	ND/Others	1469860	PRJNA248792	I		356078
SAL_RC8074AA_AS	ST285361							SAL_JB6080AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857048	SRS10346842	SRP042645				Minnesota	food	Food	ND/Others	1469848	PRJNA248792	I		356080
SAL_RC8073AA_AS	ST285356							SAL_JB6081AA			9		2021		Public Health England	Europe	United Kingdom	01/10/2021							29/09/2021	SAMN21857009	SRS10346807	SRP042645				Minnesota	food	Food	ND/Others	1469834	PRJNA248792	I		356081
SAL_RC8966AA_AS	ST285854							SAL_JB7126AA			7		2021		Public Health England	Europe	United Kingdom	01/10/2021							10/08/2021	SAMN20679892	SRS9717580	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1306226	PRJNA248792	I		357126
SAL_RC8774AA_AS	ST285956							SAL_JB7318AA			5		2017		Public Health England	Europe	United Kingdom	01/10/2021							09/08/2021	SAMN20666116	SRS9704244	SRP042645				Minnesota	food	Food	ND/Others	373142	PRJNA248792	I		357318
SAL_RC8763AA_AS	ST172957							SAL_JB7329AA			9		2016		Public Health England	Europe	United Kingdom	01/10/2021							09/08/2021	SAMN20665981	SRS9704227	SRP042645				Minnesota	Homo sapiens; human	Human	Human	300821	PRJNA248792	I		357329
SAL_RC8713AA_AS	ST280285							SAL_JB7379AA			7		2021		Public Health England	Europe	United Kingdom	01/10/2021							12/08/2021	SAMN20506991	SRS9649395	SRP042645				Minnesota	Homo sapiens; human	Human	Human	1280291	PRJNA248792	I		357379
SAL_SC0688AA_AS	ST287453							SAL_JB8552AA			9		2021		Public Health England	Europe	United Kingdom	05/10/2021							05/10/2021	SAMN22045193	SRS10443445	SRP042645				Minnesota	food	Food	ND/Others	1488355	PRJNA248792	I		358552
SAL_SC1113AA_AS	ST287649							SAL_JB8553AA			9		2021		Public Health England	Europe	United Kingdom	05/10/2021							05/10/2021	SAMN22045386	SRS10443444	SRP042645				Minnesota	food	Food	ND/Others	1488357	PRJNA248792	I		358553
SAL_SC0649AA_AS	ST287473							SAL_JB8591AA			9		2021		Public Health England	Europe	United Kingdom	05/10/2021							05/10/2021	SAMN22045129	SRS10443392	SRP042645				Minnesota	food	Food	ND/Others	1480904	PRJNA248792	I		358591
SAL_SC3855AA_AS	ST289814							SAL_KB1293AA			10		2021		Public Health England	Europe	United Kingdom	26/10/2021							26/10/2021	SAMN22562423	SRS10716883	SRP042645				Minnesota	food	Food	ND/Others	1507328	PRJNA248792	I		361293
SAL_SC3841AA_AS	ST289826							SAL_KB1307AA			10		2021		Public Health England	Europe	United Kingdom	26/10/2021							26/10/2021	SAMN22562413	SRS10716866	SRP042645				Minnesota	food	Food	ND/Others	1507318	PRJNA248792	I		361307
SAL_SC5929AA_AS	ST291514							SAL_KB3273AA			9		2021		Public Health England	Europe	United Kingdom	11/11/2021							11/11/2021	SAMN23038608	SRS11039613	SRP042645				Minnesota	food	Food	ND/Others	1497656	PRJNA248792	I		363273
SAL_SC8529AA_AS	ST293600							SAL_KB4964AA			11		2021		Public Health England	Europe	United Kingdom	01/12/2021							24/11/2021	SAMN23413074	SRS11137090	SRP042645				Minnesota	food	Food	ND/Others	1533122	PRJNA248792	I		364964
SAL_SC8333AA_AS	ST293294							SAL_KB5160AA			11		2021		Public Health England	Europe	United Kingdom	01/12/2021							22/11/2021	SAMN23374562	SRS11112903	SRP042645				Minnesota	food	Food	ND/Others	1530946	PRJNA248792	I		365160
SAL_SC8264AA_AS	ST293377							SAL_KB5229AA			11		2021		Public Health England	Europe	United Kingdom	01/12/2021							20/11/2021	SAMN23310518	SRS11108764	SRP042645				Minnesota	food	Food	ND/Others	1530983	PRJNA248792	I		365229
SAL_SC8188AA_AS	ST284039							SAL_KB5305AA			9		2021		Public Health England	Europe	United Kingdom	01/12/2021							20/11/2021	SAMN23310562	SRS11108679	SRP042645				Minnesota	food	Food	ND/Others	1481329	PRJNA248792	I		365305
SAL_SC8172AA_AS	ST293126							SAL_KB5321AA			11		2021		Public Health England	Europe	United Kingdom	01/12/2021							20/11/2021	SAMN23310624	SRS11108663	SRP042645				Minnesota	food	Food	ND/Others	1531005	PRJNA248792	I		365321
SAL_SC7813AA_AS	ST292952							SAL_KB5629AA			9		2021		Public Health England	Europe	United Kingdom	01/12/2021							02/10/2021	SAMN21902030	SRS10373599	SRP042645				Minnesota	food	Food	ND/Others	1469877	PRJNA248792	I		365629
SAL_TC2931AA_AS	ST296833							SAL_KB9073AA					2019		University of Copenhagen	South America	Brazil	23/01/2022			-23.5558	-46.6396			15/01/2022	SAMN25026359	SRS11681715	SRP311310					Gallus gallus domesticus	Poultry	Poultry	10	PRJNA715669			369073
SAL_TC2932AA_AS	ST296822							SAL_KB9074AA					2019		University of Copenhagen	South America	Brazil	23/01/2022			-23.5558	-46.6396			15/01/2022	SAMN25026358	SRS11681714	SRP311310					Gallus gallus domesticus	Poultry	Poultry	9	PRJNA715669			369074
SAL_TC2933AA_AS	ST296828							SAL_KB9075AA					2019		University of Copenhagen	South America	Brazil	23/01/2022			-23.5558	-46.6396			15/01/2022	SAMN25026357	SRS11681713	SRP311310					Gallus gallus domesticus	Poultry	Poultry	8	PRJNA715669			369075
SAL_TC2935AA_AS	ST296821							SAL_KB9076AA					2019		University of Copenhagen	South America	Brazil	23/01/2022			-23.5558	-46.6396			15/01/2022	SAMN25026355	SRS11681712	SRP311310					Gallus gallus domesticus	Poultry	Poultry	6	PRJNA715669			369076
SAL_TC4180AA_AS	ST298234							SAL_LB0387AA							PTE Medical Microbiology		United Arab Emirates	12/02/2022							11/02/2022	SAMEA11421037	ERS9066392	ERP133634								FD7-2	PRJEB49171			370387
SAL_TC4637AA_AS	ST161230							SAL_LB0850AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320533	ERS9927362	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2D11	PRJEB46151			370850
SAL_TC4661AA_AS	ST161246							SAL_LB0874AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320508	ERS9927337	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2E11	PRJEB46151			370874
SAL_TC4664AA_AS	ST161351							SAL_LB0877AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320505	ERS9927334	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2A10	PRJEB46151			370877
SAL_TC4669AA_AS	ST298411							SAL_LB0882AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320500	ERS9927329	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C1C01	PRJEB46151			370882
SAL_TC4670AA_AS	ST298429							SAL_LB0883AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320499	ERS9927328	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2B07	PRJEB46151			370883
SAL_TC4673AA_AS	ST161383							SAL_LB0886AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320496	ERS9927325	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C1F12	PRJEB46151			370886
SAL_TC4674AA_AS	ST161290							SAL_LB0887AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320495	ERS9927324	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH24-MF06	PRJEB46151			370887
SAL_TC4681AA_AS	ST161318							SAL_LB0894AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320488	ERS9927317	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH24-EH04	PRJEB46151			370894
SAL_TC4685AA_AS	ST161432							SAL_LB0898AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320484	ERS9927313	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2D09	PRJEB46151			370898
SAL_TC4686AA_AS	ST298405							SAL_LB0899AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320483	ERS9927312	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2G06	PRJEB46151			370899
SAL_TC4696AA_AS	ST298388							SAL_LB0909AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320473	ERS9927302	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2G07	PRJEB46151			370909
SAL_TC4697AA_AS	ST161634							SAL_LB0910AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320472	ERS9927301	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2E03	PRJEB46151			370910
SAL_TC4698AA_AS	ST162049							SAL_LB0911AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320471	ERS9927300	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2G02	PRJEB46151			370911
SAL_TC4732AA_AS	ST298376							SAL_LB0945AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320436	ERS9927265	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2A02	PRJEB46151			370945
SAL_TC4753AA_AS	ST161329							SAL_LB0966AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320415	ERS9927244	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2A08	PRJEB46151			370966
SAL_TC4757AA_AS	ST161255							SAL_LB0970AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320411	ERS9927240	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2E09	PRJEB46151			370970
SAL_TC4761AA_AS	ST162058							SAL_LB0974AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320407	ERS9927236	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2C05	PRJEB46151			370974
SAL_TC4779AA_AS	ST162062							SAL_LB0992AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320389	ERS9927218	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2F03	PRJEB46151			370992
SAL_TC4782AA_AS	ST161988							SAL_LB0995AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320386	ERS9927215	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2A09	PRJEB46151			370995
SAL_TC4792AA_AS	ST298356							SAL_LB1005AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320376	ERS9927205	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2F05	PRJEB46151			371005
SAL_TC4803AA_AS	ST161490							SAL_LB1016AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320365	ERS9927194	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2G04	PRJEB46151			371016
SAL_TC4809AA_AS	ST161337							SAL_LB1022AA							Quadram Institute Bioscience	South America	Brazil	14/02/2022							11/02/2022	SAMEA12320359	ERS9927188	ERP130357					Gallus gallus; chicken	Poultry	Poultry	BRCH23-C2G10	PRJEB46151			371022
SAL_TC7773AA_AS	ST300785							SAL_LB3602AA			5		2021		UAEU		United Arab Emirates	17/03/2022			25.2048493	55.2707828			15/03/2022	SAMN26497201	SRS12232775	SRP363275				Minnesota	chicken from supermarket	Poultry	Poultry	microbial	PRJNA813374			373602
SAL_UC1768AA_AS	ST304010		KwaZulu-Natal					SAL_LB7889AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	06/05/2022							06/05/2022	SAMEA14356617	ERS11950233	ERP123572				Minnesota	Animal meat	Food	Food	YA00319047	PRJEB39988			377889
SAL_UC1998AA_AS	ST304216		KwaZulu-Natal					SAL_LB8706AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	10/05/2022							10/05/2022	SAMEA14371016	ERS11965480	ERP123572				Minnesota	Animal meat	Food	Food	YA00319070	PRJEB39988			378706
SAL_UC1999AA_AS	ST304218		KwaZulu-Natal					SAL_LB8707AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	10/05/2022							10/05/2022	SAMEA14371009	ERS11965473	ERP123572				Minnesota	Animal meat	Food	Food	YA00319071	PRJEB39988			378707
SAL_UC2048AA_AS	ST304262		KwaZulu-Natal					SAL_LB8801AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	10/05/2022							10/05/2022	SAMEA14372702	ERS11967410	ERP123572				Minnesota	Animal meat	Food	Food	YA00319067	PRJEB39988			378801
SAL_UC2050AA_AS	ST304266		KwaZulu-Natal					SAL_LB8803AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	10/05/2022							10/05/2022	SAMEA14372699	ERS11967407	ERP123572				Minnesota	Animal meat	Food	Food	YA00319065	PRJEB39988			378803
SAL_UC3865AA_AS	ST305754		KwaZulu-Natal					SAL_LB9950AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	26/05/2022							26/05/2022	SAMEA14452841	ERS12074644	ERP123572				Minnesota	Animal meat	Food	Food	YA00319060	PRJEB39988			379950
